Node ID,tx,ty,tz,qx,qy,qz,qw
56,-0.624441,0.225536,0.81937,-0.0432448,0.00507997,0.9959,-0.0792963
57,-0.647653,0.231967,0.830084,-0.0626406,0.0228351,0.995045,-0.0737605
58,-0.660756,0.240654,0.834337,-0.0643305,0.0108817,0.994791,-0.0783165
59,-0.659747,0.248834,0.815887,-0.059475,0.0261709,0.994923,-0.0768565
60,-0.674081,0.258131,0.82444,-0.063158,0.0211415,0.994749,-0.0777066
61,-0.675279,0.266538,0.816133,-0.0588136,0.0291572,0.995076,-0.0742591
62,-0.67597,0.273208,0.811777,-0.0419238,0.0326188,0.996391,-0.0662072
63,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
64,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
65,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
66,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
67,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
68,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
69,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
70,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
71,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
72,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
73,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
74,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
75,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
76,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
77,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
78,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
79,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
80,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
81,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
82,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
83,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
84,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
85,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
86,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
87,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
88,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
89,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
90,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
91,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
92,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
